state,district,year,season,crop,area_,production_,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,rainfall,jf,mam,jjas,ond
andaman and nicobar islands,NICOBARS,2000,Kharif,Arecanut,1254,2000,53,59,171.3,218.1,422.8,357,176.3,460.8,250.1,321.2,158.3,115.2,2763.2,112,812.2,1244.2,594.7
andaman and nicobar islands,NICOBARS,2000,Kharif,Other Kharif pulses,2,1,53,59,171.3,218.1,422.8,357,176.3,460.8,250.1,321.2,158.3,115.2,2763.2,112,812.2,1244.2,594.7
andaman and nicobar islands,NICOBARS,2000,Kharif,Rice,102,321,53,59,171.3,218.1,422.8,357,176.3,460.8,250.1,321.2,158.3,115.2,2763.2,112,812.2,1244.2,594.7
andaman and nicobar islands,NICOBARS,2000,Whole Year,Banana,176,641,53,59,171.3,218.1,422.8,357,176.3,460.8,250.1,321.2,158.3,115.2,2763.2,112,812.2,1244.2,594.7
andaman and nicobar islands,NICOBARS,2000,Whole Year,Cashewnut,720,165,53,59,171.3,218.1,422.8,357,176.3,460.8,250.1,321.2,158.3,115.2,2763.2,112,812.2,1244.2,594.7
andaman and nicobar islands,NICOBARS,2000,Whole Year,Coconut,18168,65100000,53,59,171.3,218.1,422.8,357,176.3,460.8,250.1,321.2,158.3,115.2,2763.2,112,812.2,1244.2,594.7
andaman and nicobar islands,NICOBARS,2000,Whole Year,Dry ginger,36,100,53,59,171.3,218.1,422.8,357,176.3,460.8,250.1,321.2,158.3,115.2,2763.2,112,812.2,1244.2,594.7
andaman and nicobar islands,NICOBARS,2000,Whole Year,Sugarcane,1,2,53,59,171.3,218.1,422.8,357,176.3,460.8,250.1,321.2,158.3,115.2,2763.2,112,812.2,1244.2,594.7
andaman and nicobar islands,NICOBARS,2000,Whole Year,Sweet potato,5,15,53,59,171.3,218.1,422.8,357,176.3,460.8,250.1,321.2,158.3,115.2,2763.2,112,812.2,1244.2,594.7
andaman and nicobar islands,NICOBARS,2000,Whole Year,Tapioca,40,169,53,59,171.3,218.1,422.8,357,176.3,460.8,250.1,321.2,158.3,115.2,2763.2,112,812.2,1244.2,594.7
